"No. Pesanan","Status Pesanan","Alasan Pembatalan","Status Pembatalan/ Pengembalian","No. Resi","Opsi Pengiriman","Antar ke counter/ pick-up","Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan)","Waktu Pengiriman Diatur","Waktu Pesanan Dibuat","Waktu Pembayaran Dilakukan","Metode Pembayaran","SKU Induk","Nama Produk","Nomor Referensi SKU","Nama Variasi","Harga Awal","Harga Setelah Diskon","Jumlah","Returned quantity","Total Harga Produk","Total Diskon","Diskon Dari Penjual","Diskon Dari Shopee","Berat Produk","Jumlah Produk di Pesan","Total Berat","Voucher Ditanggung Penjual","Cashback Koin","Voucher Ditanggung Shopee","Paket Diskon","Paket Diskon (Diskon dari Shopee)","Paket Diskon (Diskon dari Penjual)","Potongan Koin Shopee","Diskon Kartu Kredit","Ongkos Kirim Dibayar oleh Pembeli","Estimasi Potongan Biaya Pengiriman","Ongkos Kirim Pengembalian Barang","Total Pembayaran","Perkiraan Ongkos Kirim","Catatan dari Pembeli","Catatan","Username (Pembeli)","Nama Penerima","No. Telepon","Alamat Pengiriman","Kota/Kabupaten","Provinsi","Waktu Pesanan Selesai"
"24012087SW1K9M","Diproses","","","JP5349788100","Hemat","Antar ke counter","2024-01-22 01:28","2024-01-21 18:28","2024-01-20 00:17","2024-01-20 01:28","Kartu Kredit","JAK-015","Jaket Wanita Formal Murah","JAK-015-Beige-XL","Beige, XL","389000","356000","5","0","1780000","165000","10000","15000","389","5","1945","10000","0","15000","0","0","0","4780","0","30000","0","0","1780220","30000","","","user_42rl1e","Pembeli 4437","6285141089149","Jl. Mawar No. 89, RT 03/RW 03","Medan","Sumatera Utara",""
"2409171GXSKOUZ","Selesai","","","SPX7668194386","Instant","Antar ke counter","2024-09-19 09:58","2024-09-19 09:58","2024-09-17 08:08","2024-09-17 09:58","COD","CRO-027","Crop Top Wanita Basic Bahan Adem","CRO-027-Sage green-S","Sage green, S","269000","170800","2","0","341600","196400","0","0","285","2","570","0","0","0","0","0","0","0","0","0","5000","0","341600","5000","","","user_dirl48","Pembeli 2999","6282391392754","Jl. Mawar No. 2, RT 02/RW 04","Bekasi","Jawa Barat","2024-09-22 09:58"
"240912C5REXFCH","Dikirim","","","JP3243201600","Kargo","Pick-up","2024-09-14 03:04","2024-09-13 15:04","2024-09-12 02:17","2024-09-12 03:04","COD","OUT-092","Outer Wanita Premium Murah","OUT-092-Dusty pink-S","Dusty pink, S","186000","171700","3","0","515100","42900","0","15000","360","3","1080","0","0","15000","0","0","0","0","0","15000","0","0","515100","15000","","","user_qr2c23","Pembeli 1297","6282089293655","Jl. Mawar No. 56, RT 03/RW 01","Depok","Jawa Barat",""
"240404GEBEC41R","Selesai","","","SICEPAT4540940482","Reguler","Pick-up","2024-04-06 16:36","2024-04-06 07:36","2024-04-04 14:59","2024-04-04 16:36","Kartu Kredit","JAK-098","Jaket Wanita Rajut Murah","JAK-098-Beige-M","Beige, M","253000","201600","4","0","806400","205600","10000","15000","305","4","1220","10000","0","15000","0","0","0","0","0","0","15000","0","781400","15000","","","user_6zled1","Pembeli 6387","6282326142867","Jl. Mawar No. 4, RT 09/RW 06","Yogyakarta","DI Yogyakarta","2024-04-11 07:36"
"2405268PDWXEZI","Selesai","","","SICEPAT7200194357","Reguler","Pick-up","2024-05-28 21:03","2024-05-28 03:03","2024-05-26 20:28","2024-05-26 21:03","COD","DRE-051","Dress Wanita Motif Bunga Terbaru","DRE-051-Dusty pink-All Size","Dusty pink, All Size","61000","48400","4","0","193600","50400","5000","15000","253","4","1012","5000","0","15000","0","0","0","0","0","10000","0","0","183600","10000","","","user_bomzqb","Pembeli 7326","6289482781583","Jl. Mawar No. 73, RT 07/RW 03","Medan","Sumatera Utara","2024-06-01 03:03"
"240320UVIV48JU","Dikirim","","","SICEPAT7131142298","Same Day","Pick-up","2024-03-22 23:08","2024-03-22 10:08","2024-03-20 23:01","2024-03-20 23:08","COD","OUT-078","Outer Wanita Motif Bunga Murah","OUT-078-Dusty pink-All Size","Dusty pink, All Size","288000","211000","5","0","1055000","385000","5000","15000","275","5","1375","5000","0","15000","0","0","0","0","0","25000","0","0","1060000","25000","","","user_9157kh","Pembeli 5217","6284373974258","Jl. Mawar No. 40, RT 02/RW 07","Yogyakarta","DI Yogyakarta",""
"240420M2E1BAKU","Dikirim","","","JNT8256651034","Same Day","Pick-up","2024-04-22 17:42","2024-04-22 17:42","2024-04-20 17:13","2024-04-20 17:42","Transfer Bank","TUN-077","Tunik Wanita Polos Import","TUN-077-Maroon-M","Maroon, M","397000","239800","5","0","1199000","786000","0","0","237","5","1185","0","0","0","0","0","0","4662","0","5000","0","0","1199338","5000","","","user_cg41rk","Pembeli 9496","6282493564807","Jl. Mawar No. 37, RT 07/RW 06","Bekasi","Jawa Barat",""
"2411257V7JMKJL","Dibatalkan","Salah pilih variasi","Dibatalkan oleh Pembeli","","Hemat","Pick-up","2024-11-27 10:58","","2024-11-25 10:19","","SPayLater","CAR-018","Cardigan Wanita Motif Bunga Murah","CAR-018-Mustard-M","Mustard, M","423000","318000","1","0","318000","105000","0","0","348","1","348","0","0","0","0","0","0","0","0","5000","0","0","323000","5000","","","user_5tvguw","Pembeli 8722","6285139671436","Jl. Mawar No. 72, RT 07/RW 02","Makassar","Sulawesi Selatan",""
"2405305XX9PKQG","Selesai","","","JP2538218161","Reguler","Antar ke counter","2024-06-01 15:50","2024-05-31 08:50","2024-05-30 15:21","2024-05-30 15:50","Kartu Kredit","CRO-024","Crop Top Wanita Slim Fit Import","CRO-024-Dusty pink-XL","Dusty pink, XL","100000","84800","3","0","254400","45600","10000","15000","280","3","840","10000","0","15000","0","0","0","3066","0","15000","0","0","241334","15000","","","user_3b29xz","Pembeli 3307","6286500048261","Jl. Mawar No. 97, RT 01/RW 03","Semarang","Jawa Tengah","2024-06-02 08:50"
"240115FRV1L6CK","Selesai","","","JNT0278918623","Hemat","Antar ke counter","2024-01-17 14:32","2024-01-16 15:32","2024-01-15 13:53","2024-01-15 14:32","Transfer Bank","HIJ-057","Hijab Wanita Formal Elegan","HIJ-057-Sage green-M","Sage green, M","60000","52800","2","0","105600","14400","0","0","192","2","384","0","0","0","0","0","0","2643","0","5000","0","0","107957","5000","","","user_haahop","Pembeli 3012","6287254736171","Jl. Mawar No. 2, RT 08/RW 07","Bandung","Jawa Barat","2024-01-18 15:32"
"2405233OW37GJN","Dikirim","","","JP9125781029","Reguler","Antar ke counter","2024-05-25 18:55","2024-05-24 09:55","2024-05-23 18:28","2024-05-23 18:55","ShopeePay","ROK-016","Rok Midi Wanita Polos Import","ROK-016-Hitam-M","Hitam, M","303000","230600","4","0","922400","289600","0","0","336","4","1344","0","0","0","0","0","0","0","0","0","5000","0","922400","5000","","","user_5c3z6j","Pembeli 9953","6289234930973","Jl. Mawar No. 83, RT 08/RW 06","Medan","Sumatera Utara",""
"240905QB3KBWIF","Selesai","","","SICEPAT1663801585","Hemat","Antar ke counter","2024-09-07 12:42","2024-09-06 14:42","2024-09-05 11:32","2024-09-05 12:42","ShopeePay","OUT-049","Outer Wanita Vintage Terbaru","OUT-049-Navy-All Size","Navy, All Size","367000","312500","3","0","937500","163500","0","15000","260","3","780","0","0","15000","0","0","0","0","0","20000","0","0","942500","20000","","","user_edbt8b","Pembeli 6679","6287669220569","Jl. Mawar No. 96, RT 01/RW 02","Surabaya","Jawa Timur","2024-09-09 14:42"
"24021060ATH9KP","Dibatalkan","Ingin mengubah alamat","Dibatalkan oleh Pembeli","","Instant","Antar ke counter","2024-02-12 06:35","","2024-02-10 05:19","","Transfer Bank","CEL-088","Celana Kulot Wanita Formal Import","CEL-088-Sage green-M","Sage green, M","439000","325100","1","0","325100","113900","10000","15000","357","1","357","10000","0","15000","0","0","0","0","0","10000","0","0","310100","10000","","","user_uga4fe","Pembeli 3886","6288777794369","Jl. Mawar No. 76, RT 07/RW 04","Yogyakarta","DI Yogyakarta",""
"241217P5MD3EXU","Diproses","","","JNT5555320186","Hemat","Pick-up","2024-12-19 11:32","2024-12-18 00:32","2024-12-17 09:45","2024-12-17 11:32","Transfer Bank","HIJ-048","Hijab Wanita Formal Elegan","HIJ-048-Lilac-L","Lilac, L","443000","409800","3","0","1229400","99600","0","15000","254","3","762","0","0","15000","0","0","0","2749","0","20000","0","0","1231651","20000","","","user_8vlig7","Pembeli 8768","6281732276273","Jl. Mawar No. 46, RT 03/RW 01","Yogyakarta","DI Yogyakarta",""
"2412264I4CXGF8","Selesai","","","JNT1389405365","Hemat","Pick-up","2024-12-28 04:46","2024-12-27 01:46","2024-12-26 04:25","2024-12-26 04:46","COD","ROK-055","Rok Mini Wanita Korean Style Bahan Adem","ROK-055-Coklat-XL","Coklat, XL","37000","26500","2","0","53000","21000","0","0","398","2","796","0","0","0","0","0","0","0","0","0","30000","0","53000","30000","","","user_xwaymh","Pembeli 2752","6284656448543","Jl. Mawar No. 6, RT 05/RW 09","Bandung","Jawa Barat","2024-12-29 01:46"
"240308V0HXEF73","Dikirim","","","JNT7591314444","Kargo","Antar ke counter","2024-03-10 05:11","2024-03-08 21:11","2024-03-08 03:30","2024-03-08 05:11","ShopeePay","CEL-001","Celana Kulot Wanita Rajut Terbaru","CEL-001-Putih-All Size","Putih, All Size","376000","342800","3","0","1028400","99600","5000","0","339","3","1017","5000","0","0","0","0","0","4429","0","20000","0","0","1038971","20000","","","user_2g76rw","Pembeli 8871","6287020369944","Jl. Mawar No. 52, RT 05/RW 02","Jakarta","DKI Jakarta",""
"24031070TGO5AW","Dikirim","","","SPX0601229245","Instant","Antar ke counter","2024-03-12 12:59","2024-03-11 12:59","2024-03-10 12:49","2024-03-10 12:59","Transfer Bank","SWE-072","Sweater Wanita Casual Murah","SWE-072-Putih-S","Putih, S","65000","51000","5","0","255000","70000","5000","0","375","5","1875","5000","0","0","0","0","0","0","0","0","20000","0","250000","20000","","","user_dtc5pa","Pembeli 3754","6284033236374","Jl. Mawar No. 8, RT 01/RW 06","Tangerang","Banten",""
"240506611GQIT8","Selesai","","","JNT2527951481","Instant","Antar ke counter","2024-05-08 22:12","2024-05-07 21:12","2024-05-06 20:28","2024-05-06 22:12","Kartu Kredit","JAK-098","Jaket Wanita Rajut Murah","JAK-098-Mustard-S","Mustard, S","253000","235100","4","0","940400","71600","0","0","305","4","1220","0","0","0","0","0","0","1726","0","0","20000","0","938674","20000","","","user_vn28hr","Pembeli 2364","6287466752669","Jl. Mawar No. 82, RT 02/RW 09","Yogyakarta","DI Yogyakarta","2024-05-12 21:12"
"240212XPWNUA6T","Dibatalkan","Berubah pikiran","Dibatalkan oleh Sistem","","Same Day","Antar ke counter","2024-02-14 04:48","","2024-02-12 04:47","","Kartu Kredit","JAK-084","Jaket Wanita Polos Bahan Adem","JAK-084-Lilac-M","Lilac, M","105000","92400","2","0","184800","25200","0","0","260","2","520","0","0","0","0","0","0","0","0","0","5000","0","184800","5000","","","user_0crz17","Pembeli 1324","6289141767854","Jl. Mawar No. 64, RT 07/RW 02","Bekasi","Jawa Barat",""
"240209VYWAPKE5","Selesai","","","SPX7644445194","Hemat","Antar ke counter","2024-02-11 02:06","2024-02-10 07:06","2024-02-09 00:16","2024-02-09 02:06","Kartu Kredit","KAO-082","Kaos Wanita Kekinian Elegan","KAO-082-Coklat-All Size","Coklat, All Size","317000","224300","3","0","672900","278100","0","15000","152","3","456","0","0","15000","0","0","0","0","0","0","30000","0","657900","30000","","","user_ng5udl","Pembeli 4344","6285090630363","Jl. Mawar No. 44, RT 06/RW 04","Semarang","Jawa Tengah","2024-02-15 07:06"
"2401093DN1TJL2","Dikirim","","","SICEPAT1649375300","Kargo","Pick-up","2024-01-11 18:25","2024-01-10 23:25","2024-01-09 17:28","2024-01-09 18:25","Transfer Bank","ROK-076","Rok Mini Wanita Vintage Bahan Adem","ROK-076-Maroon-L","Maroon, L","109000","77400","4","0","309600","126400","5000","15000","219","4","876","5000","0","15000","0","0","0","0","0","0","30000","0","289600","30000","","","user_224eqk","Pembeli 8509","6288000426254","Jl. Mawar No. 27, RT 07/RW 09","Tangerang","Banten",""
"24030526BHYZ1O","Selesai","","","SICEPAT8318911432","Kargo","Antar ke counter","2024-03-07 18:50","2024-03-07 14:50","2024-03-05 17:25","2024-03-05 18:50","Kartu Kredit","CEL-007","Celana Kulot Wanita Formal Murah","CEL-007-Hitam-All Size","Hitam, All Size","82000","72800","5","0","364000","46000","0","0","173","5","865","0","0","0","0","0","0","0","0","10000","0","0","374000","10000","","","user_tw0j49","Pembeli 6695","6284717267186","Jl. Mawar No. 2, RT 03/RW 08","Medan","Sumatera Utara","2024-03-12 14:50"
"240817RX8U73NK","Diproses","","","SPX0932571458","Instant","Antar ke counter","2024-08-20 01:21","2024-08-19 11:21","2024-08-17 23:27","2024-08-18 01:21","ShopeePay","HIJ-037","Hijab Wanita Vintage Bahan Adem","HIJ-037-Navy-XL","Navy, XL","422000","316800","5","0","1584000","526000","10000","0","182","5","910","10000","0","0","0","0","0","2697","0","30000","0","0","1601303","30000","","","user_e1p5ei","Pembeli 5843","6289456485428","Jl. Mawar No. 17, RT 01/RW 07","Jakarta","DKI Jakarta",""
"240115K0HF36C0","Selesai","","","SPX1964434191","Reguler","Pick-up","2024-01-18 00:46","2024-01-16 21:46","2024-01-15 23:57","2024-01-16 00:46","COD","CEL-001","Celana Kulot Wanita Rajut Terbaru","CEL-001-Sage green-M","Sage green, M","376000","328800","3","0","986400","141600","10000","0","339","3","1017","10000","0","0","0","0","0","0","0","20000","0","0","996400","20000","","","user_vvld3i","Pembeli 4690","6282342348308","Jl. Mawar No. 63, RT 02/RW 03","Makassar","Sulawesi Selatan","2024-01-21 21:46"
"240602LDQLQ1WM","Selesai","","","JP9074966417","Kargo","Pick-up","2024-06-04 04:13","2024-06-03 03:13","2024-06-02 03:56","2024-06-02 04:13","COD","KAO-082","Kaos Wanita Kekinian Elegan","KAO-082-Lilac-M","Lilac, M","317000","232600","5","0","1163000","422000","5000","0","152","5","760","5000","0","0","0","0","0","0","0","10000","0","0","1168000","10000","","","user_desrwq","Pembeli 1896","6289814241140","Jl. Mawar No. 82, RT 01/RW 06","Surabaya","Jawa Timur","2024-06-08 03:13"
"2402243SVG7SS6","Dibatalkan","Salah pilih variasi","Dibatalkan oleh Pembeli","","Reguler","Pick-up","2024-02-26 20:13","","2024-02-24 19:34","","Transfer Bank","CAR-093","Cardigan Wanita Formal Terbaru","CAR-093-Dusty pink-S","Dusty pink, S","367000","241600","4","0","966400","501600","10000","0","199","4","796","10000","0","0","0","0","0","0","0","25000","0","0","981400","25000","","","user_bisbht","Pembeli 7902","6284382352480","Jl. Mawar No. 89, RT 04/RW 04","Depok","Jawa Barat",""
"2411113EVJN2J6","Selesai","","","JP3151251631","Same Day","Antar ke counter","2024-11-13 11:07","2024-11-13 10:07","2024-11-11 09:10","2024-11-11 11:07","Transfer Bank","SET-052","Setelan Wanita Vintage Import","SET-052-Sage green-M","Sage green, M","128000","80100","2","0","160200","95800","0","0","198","2","396","0","0","0","0","0","0","2740","0","0","5000","0","157460","5000","","","user_k5r0pn","Pembeli 3663","6285003521294","Jl. Mawar No. 40, RT 04/RW 04","Bekasi","Jawa Barat","2024-11-16 10:07"
"240121804BFPV0","Selesai","","","JP6155455297","Kargo","Antar ke counter","2024-01-23 12:07","2024-01-23 12:07","2024-01-21 10:48","2024-01-21 12:07","SPayLater","DRE-012","Dress Wanita Motif Bunga Import","DRE-012-Putih-All Size","Putih, All Size","425000","315300","5","0","1576500","548500","5000","0","224","5","1120","5000","0","0","0","0","0","3536","0","30000","0","0","1597964","30000","","","user_upu536","Pembeli 6383","6287747456639","Jl. Mawar No. 97, RT 09/RW 03","Depok","Jawa Barat","2024-01-25 12:07"
"240824HS14ECI9","Dibatalkan","Berubah pikiran","Dibatalkan oleh Pembeli","","Instant","Antar ke counter","2024-08-26 15:35","","2024-08-24 14:10","","ShopeePay","CEL-038","Celana Kulot Wanita Motif Bunga Elegan","CEL-038-Lilac-All Size","Lilac, All Size","311000","275000","5","0","1375000","180000","5000","0","192","5","960","5000","0","0","0","0","0","0","0","20000","0","0","1390000","20000","","","user_22hr5s","Pembeli 7409","6281450160484","Jl. Mawar No. 24, RT 04/RW 01","Makassar","Sulawesi Selatan",""
"240709HYA0EIVA","Dibatalkan","Ingin mengubah alamat","Dibatalkan oleh Sistem","","Same Day","Antar ke counter","2024-07-12 00:36","","2024-07-09 22:49","","SPayLater","SET-043","Setelan Wanita Korean Style Bahan Adem","SET-043-Mustard-S","Mustard, S","313000","200100","1","0","200100","112900","0","0","208","1","208","0","0","0","0","0","0","0","0","0","5000","0","200100","5000","","","user_7vh2d3","Pembeli 6129","6288395557226","Jl. Mawar No. 96, RT 01/RW 06","Tangerang","Banten",""
"2411292CAML518","Selesai","","","SICEPAT3631700587","Kargo","Antar ke counter","2024-12-01 03:01","2024-11-29 23:01","2024-11-29 01:52","2024-11-29 03:01","SPayLater","ROK-091","Rok Mini Wanita Basic Terbaru","ROK-091-Putih-S","Putih, S","270000","229700","1","0","229700","40300","10000","0","206","1","206","10000","0","0","0","0","0","0","0","0","30000","0","219700","30000","","","user_h1fphm","Pembeli 7569","6283441044403","Jl. Mawar No. 27, RT 06/RW 04","Tangerang","Banten","2024-12-04 23:01"
"2402053YC6WZ8L","Selesai","","","SICEPAT6033355371","Hemat","Antar ke counter","2024-02-07 02:53","2024-02-06 08:53","2024-02-05 02:06","2024-02-05 02:53","Kartu Kredit","HIJ-037","Hijab Wanita Vintage Bahan Adem","HIJ-037-Coklat-XL","Coklat, XL","422000","259600","5","0","1298000","812000","10000","0","182","5","910","10000","0","0","0","0","0","0","0","0","20000","0","1288000","20000","","","user_p1na6k","Pembeli 9539","6285648042822","Jl. Mawar No. 33, RT 05/RW 02","Tangerang","Banten","2024-02-10 08:53"
"2412121KWQJL8E","Selesai","","","JNT4299065190","Kargo","Pick-up","2024-12-14 07:10","2024-12-13 16:10","2024-12-12 06:43","2024-12-12 07:10","ShopeePay","SET-062","Setelan Wanita Korean Style Terbaru","SET-062-Navy-M","Navy, M","329000","263900","5","0","1319500","325500","0","0","272","5","1360","0","0","0","0","0","0","0","0","30000","0","0","1349500","30000","","","user_uubrj1","Pembeli 1058","6283446704605","Jl. Mawar No. 23, RT 09/RW 09","Yogyakarta","DI Yogyakarta","2024-12-15 16:10"
"241001G358GEEJ","Selesai","","","SICEPAT1448098997","Same Day","Antar ke counter","2024-10-03 13:24","2024-10-02 22:24","2024-10-01 12:53","2024-10-01 13:24","Kartu Kredit","BLO-034","Blouse Wanita Polos Murah","BLO-034-Hitam-M","Hitam, M","280000","236100","2","0","472200","87800","10000","15000","154","2","308","10000","0","15000","0","0","0","3670","0","0","25000","0","443530","25000","","","user_iio1q3","Pembeli 2544","6289626135748","Jl. Mawar No. 2, RT 02/RW 06","Makassar","Sulawesi Selatan","2024-10-06 22:24"
"2403055UHGCRKF","Selesai","","","JP6188673407","Hemat","Antar ke counter","2024-03-07 19:20","2024-03-06 23:20","2024-03-05 19:14","2024-03-05 19:20","Kartu Kredit","ROK-002","Rok Midi Wanita Polos Elegan","ROK-002-Hitam-XL","Hitam, XL","46000","32600","3","0","97800","40200","0","0","157","3","471","0","0","0","0","0","0","1243","0","15000","0","0","111557","15000","","","user_l87fj8","Pembeli 1461","6283038689728","Jl. Mawar No. 96, RT 07/RW 05","Bekasi","Jawa Barat","2024-03-07 23:20"
"240422E8UA2HQG","Selesai","","","SPX1056035030","Hemat","Antar ke counter","2024-04-24 11:25","2024-04-23 15:25","2024-04-22 11:23","2024-04-22 11:25","ShopeePay","DRE-019","Dress Wanita Formal Terbaru","DRE-019-Lilac-XL","Lilac, XL","442000","350500","2","0","701000","183000","0","15000","230","2","460","0","0","15000","0","0","0","0","0","0","5000","0","686000","5000","","","user_uh8vaq","Pembeli 6128","6281128956696","Jl. Mawar No. 13, RT 08/RW 04","Surabaya","Jawa Timur","2024-04-24 15:25"
"241029AMHV1F07","Dikirim","","","SPX1153058641","Instant","Antar ke counter","2024-10-31 10:01","2024-10-31 02:01","2024-10-29 09:56","2024-10-29 10:01","COD","ROK-003","Rok Midi Wanita Formal Import","ROK-003-Dusty pink-L","Dusty pink, L","288000","185900","3","0","557700","306300","0","0","304","3","912","0","0","0","0","0","0","0","0","20000","0","0","577700","20000","","","user_lo9fik","Pembeli 3158","6286083811608","Jl. Mawar No. 19, RT 02/RW 07","Bekasi","Jawa Barat",""
"24101059Z025JU","Dikirim","","","JNT7488306463","Same Day","Pick-up","2024-10-12 16:06","2024-10-11 21:06","2024-10-10 16:03","2024-10-10 16:06","Kartu Kredit","SWE-028","Sweater Wanita Kekinian Terbaru","SWE-028-Beige-XL","Beige, XL","378000","305000","4","0","1220000","292000","0","0","334","4","1336","0","0","0","0","0","0","0","0","0","30000","0","1220000","30000","","","user_tebdud","Pembeli 9798","6284614617257","Jl. Mawar No. 22, RT 07/RW 09","Makassar","Sulawesi Selatan",""
"241103KJPQ8SEU","Dikirim","","","SICEPAT1499524074","Same Day","Antar ke counter","2024-11-05 08:03","2024-11-05 04:03","2024-11-03 06:10","2024-11-03 08:03","ShopeePay","JAK-084","Jaket Wanita Polos Bahan Adem","JAK-084-Lilac-S","Lilac, S","105000","63900","1","0","63900","41100","0","0","260","1","260","0","0","0","0","0","0","0","0","20000","0","0","83900","20000","","","user_o01717","Pembeli 4303","6283685760051","Jl. Mawar No. 26, RT 06/RW 04","Jakarta","DKI Jakarta",""
"240723U0FIYHQ3","Selesai","","","JNT4181917678","Reguler","Pick-up","2024-07-26 00:11","2024-07-25 08:11","2024-07-23 23:18","2024-07-24 00:11","Kartu Kredit","KAO-042","Kaos Wanita Vintage Import","KAO-042-Hitam-M","Hitam, M","145000","99100","1","0","99100","45900","10000","15000","166","1","166","10000","0","15000","0","0","0","1980","0","0","10000","0","72120","10000","","","user_asu29e","Pembeli 2951","6281011382159","Jl. Mawar No. 75, RT 02/RW 07","Bandung","Jawa Barat","2024-07-28 08:11"
"24091818L9GJ4A","Selesai","","","SICEPAT7635739998","Same Day","Pick-up","2024-09-20 12:19","2024-09-20 12:19","2024-09-18 11:10","2024-09-18 12:19","SPayLater","KAO-054","Kaos Wanita Formal Terbaru","KAO-054-Maroon-L","Maroon, L","256000","208400","1","0","208400","47600","10000","0","356","1","356","10000","0","0","0","0","0","0","0","30000","0","0","228400","30000","","","user_cd5lxt","Pembeli 7051","6288276975466","Jl. Mawar No. 43, RT 09/RW 03","Yogyakarta","DI Yogyakarta","2024-09-25 12:19"
"240520JLEI6WGL","Selesai","","","SPX2443552824","Reguler","Antar ke counter","2024-05-23 00:01","2024-05-22 08:01","2024-05-20 23:34","2024-05-21 00:01","Kartu Kredit","CAR-018","Cardigan Wanita Motif Bunga Murah","CAR-018-Hitam-S","Hitam, S","423000","393200","2","0","786400","59600","0","0","348","2","696","0","0","0","0","0","0","0","0","0","30000","0","786400","30000","","","user_q7ka8o","Pembeli 1551","6287575072878","Jl. Mawar No. 65, RT 02/RW 08","Yogyakarta","DI Yogyakarta","2024-05-26 08:01"
"241227MEXJTNRP","Selesai","","","SICEPAT0210795356","Instant","Antar ke counter","2024-12-29 09:51","2024-12-28 19:51","2024-12-27 09:22","2024-12-27 09:51","SPayLater","SWE-080","Sweater Wanita Korean Style Terbaru","SWE-080-Beige-L","Beige, L","200000","165800","1","0","165800","34200","0","0","347","1","347","0","0","0","0","0","0","0","0","5000","0","0","170800","5000","","","user_adusqb","Pembeli 3879","6284882991996","Jl. Mawar No. 73, RT 07/RW 02","Semarang","Jawa Tengah","2024-12-29 19:51"
"241018QAOP3772","Selesai","","","JNT3793114982","Hemat","Pick-up","2024-10-20 20:32","2024-10-19 22:32","2024-10-18 19:50","2024-10-18 20:32","ShopeePay","ROK-013","Rok Midi Wanita Formal Terbaru","ROK-013-Mustard-S","Mustard, S","224000","186700","1","0","186700","37300","5000","0","221","1","221","5000","0","0","0","0","0","2432","0","0","20000","0","179268","20000","","","user_rog710","Pembeli 3067","6288842825710","Jl. Mawar No. 86, RT 03/RW 07","Semarang","Jawa Tengah","2024-10-20 22:32"
"240229T8FMW4V1","Diproses","","","JNT9964984826","Reguler","Antar ke counter","2024-03-02 08:34","2024-03-01 04:34","2024-02-29 06:44","2024-02-29 08:34","Kartu Kredit","HIJ-060","Hijab Wanita Casual Import","HIJ-060-Maroon-S","Maroon, S","181000","130000","5","0","650000","255000","10000","0","205","5","1025","10000","0","0","0","0","0","4302","0","15000","0","0","650698","15000","","","user_u99elj","Pembeli 4432","6282321129923","Jl. Mawar No. 40, RT 07/RW 07","Medan","Sumatera Utara",""
"240304LXK2G5EO","Selesai","","Pengembalian Barang/Dana","SPX0368601667","Hemat","Pick-up","2024-03-06 13:52","2024-03-05 17:52","2024-03-04 13:06","2024-03-04 13:52","Kartu Kredit","ROK-070","Rok Midi Wanita Korean Style Elegan","ROK-070-Putih-All Size","Putih, All Size","348000","312700","2","2","625400","70600","5000","0","294","2","588","5000","0","0","0","0","0","0","0","10000","0","0","630400","10000","","","user_j2t9o5","Pembeli 1299","6281187872166","Jl. Mawar No. 12, RT 03/RW 06","Tangerang","Banten","2024-03-10 17:52"
"24043017YW1BSD","Selesai","","","SICEPAT0941783920","Reguler","Antar ke counter","2024-05-02 19:37","2024-05-02 16:37","2024-04-30 18:18","2024-04-30 19:37","ShopeePay","ROK-013","Rok Midi Wanita Formal Terbaru","ROK-013-Mustard-XL","Mustard, XL","224000","169600","5","0","848000","272000","0","0","221","5","1105","0","0","0","0","0","0","0","0","0","5000","0","848000","5000","","","user_i1rd31","Pembeli 7798","6284217854003","Jl. Mawar No. 81, RT 07/RW 03","Bekasi","Jawa Barat","2024-05-04 16:37"
"240908HMIQP56A","Selesai","","","JNT8960933114","Instant","Antar ke counter","2024-09-10 16:32","2024-09-10 09:32","2024-09-08 15:55","2024-09-08 16:32","Kartu Kredit","ROK-071","Rok Mini Wanita Vintage Bahan Adem","ROK-071-Lilac-XL","Lilac, XL","139000","106600","1","0","106600","32400","0","15000","279","1","279","0","0","15000","0","0","0","0","0","30000","0","0","121600","30000","","","user_ydw9f6","Pembeli 7294","6286374353620","Jl. Mawar No. 63, RT 02/RW 09","Jakarta","DKI Jakarta","2024-09-12 09:32"
"241106463NA7HN","Dikirim","","","JP6733850662","Hemat","Antar ke counter","2024-11-08 01:01","2024-11-08 00:01","2024-11-06 00:24","2024-11-06 01:01","COD","JAK-098","Jaket Wanita Rajut Murah","JAK-098-Beige-M","Beige, M","253000","162800","2","0","325600","180400","10000","15000","305","2","610","10000","0","15000","0","0","0","0","0","0","20000","0","300600","20000","","","user_oqopyc","Pembeli 2939","6281610046667","Jl. Mawar No. 42, RT 01/RW 02","Bekasi","Jawa Barat",""
"241111LDAAE16P","Selesai","","","JNT8187668528","Same Day","Antar ke counter","2024-11-13 22:33","2024-11-13 19:33","2024-11-11 21:09","2024-11-11 22:33","ShopeePay","CRO-008","Crop Top Wanita Vintage Murah","CRO-008-Coklat-S","Coklat, S","206000","195000","1","0","195000","11000","0","0","304","1","304","0","0","0","0","0","0","0","0","5000","0","0","200000","5000","","","user_nz1z9z","Pembeli 7623","6282052559186","Jl. Mawar No. 86, RT 06/RW 04","Makassar","Sulawesi Selatan","2024-11-18 19:33"
